iter	Passed	Remaining
0	45	81157
1	99	89439
2	157	94061
3	214	96157
4	270	97038
5	321	96056
6	377	96755
7	432	96811
8	491	97736
9	547	97935
10	605	98424
11	665	99107
12	721	99156
13	782	99788
14	837	99652
15	891	99402
16	936	98264
17	972	96317
18	1001	93904
19	1053	93737
20	1107	93807
21	1161	93838
22	1185	91573
23	1239	91734
24	1279	90851
25	1338	91360
26	1376	90397
27	1429	90485
28	1483	90580
29	1539	90843
30	1575	89902
31	1631	90133
32	1674	89644
33	1709	88796
34	1764	88977
35	1788	87636
36	1840	87698
37	1858	86188
38	1905	86058
39	1962	86353
40	2017	86556
41	2074	86824
42	2104	86005
43	2161	86246
44	2216	86430
45	2268	86500
46	2322	86624
47	2377	86779
48	2431	86888
49	2486	87011
50	2542	87176
51	2599	87388
52	2659	87670
53	2715	87809
54	2771	87944
55	2801	87252
56	2856	87343
57	2914	87524
58	2972	87713
59	3028	87835
60	3083	87910
61	3140	88045
62	3194	88086
63	3249	88129
64	3304	88201
65	3360	88292
66	3384	87552
67	3436	87536
68	3464	86911
69	3509	86737
70	3555	86578
71	3615	86766
72	3673	86898
73	3731	87029
74	3788	87140
75	3846	87261
76	3903	87356
77	3959	87403
78	4015	87477
79	4070	87524
80	4121	87475
81	4177	87522
82	4233	87581
83	4289	87626
84	4357	87916
85	4401	87730
86	4454	87708
87	4509	87736
88	4566	87789
89	4626	87898
90	4684	87966
91	4741	88019
92	4796	88035
93	4826	87592
94	4870	87404
95	4928	87487
96	4981	87450
97	5010	87015
98	5054	86841
99	5104	86780
100	5165	86900
101	5185	86317
102	5239	86323
103	5294	86347
104	5354	86432
105	5414	86532
106	5472	86596
107	5530	86642
108	5586	86663
109	5617	86311
110	5676	86377
111	5731	86389
112	5756	85943
113	5772	85376
114	5785	84775
115	5811	84368
116	5865	84367
117	5918	84369
118	5979	84473
119	6032	84448
120	6062	84123
121	6115	84117
122	6169	84110
123	6197	83769
124	6247	83713
125	6294	83632
126	6309	83122
127	6364	83137
128	6418	83144
129	6445	82794
130	6497	82783
131	6550	82774
132	6605	82786
133	6635	82504
134	6670	82266
135	6707	82067
136	6762	82086
137	6796	81854
138	6847	81829
139	6904	81865
140	6958	81869
141	7011	81871
142	7041	81596
143	7095	81602
144	7125	81331
145	7143	80925
146	7197	80935
147	7250	80929
148	7306	80960
149	7363	80998
150	7418	81010
151	7474	81042
152	7493	80669
153	7510	80275
154	7563	80274
155	7620	80309
156	7676	80329
157	7708	80108
158	7743	79915
159	7794	79892
160	7850	79915
161	7902	79899
162	7957	79920
163	7982	79629
164	8035	79621
165	8092	79652
166	8140	79599
167	8195	79617
168	8250	79627
169	8288	79473
170	8311	79175
171	8364	79167
172	8420	79193
173	8478	79234
174	8509	79014
175	8563	79016
176	8618	79023
177	8674	79043
178	8730	79064
179	8785	79070
180	8843	79102
181	8869	78855
182	8926	78871
183	8981	78881
184	9037	78890
185	9092	78903
186	9121	78677
187	9175	78673
188	9214	78543
189	9261	78479
190	9298	78327
191	9352	78330
192	9409	78345
193	9465	78358
194	9502	78210
195	9556	78210
196	9616	78252
197	9673	78266
198	9730	78286
199	9787	78301
200	9839	78272
201	9895	78284
202	9952	78298
203	10008	78300
204	10057	78254
205	10112	78245
206	10167	78244
207	10216	78191
208	10270	78186
209	10321	78144
210	10380	78170
211	10408	77962
212	10456	77907
213	10511	77905
214	10569	77922
215	10599	77732
216	10654	77720
217	10707	77704
218	10769	77748
219	10827	77762
220	10879	77732
221	10936	77736
222	10995	77760
223	11050	77750
224	11099	77698
225	11154	77684
226	11227	77803
227	11283	77797
228	11339	77795
229	11395	77788
230	11449	77767
231	11505	77761
232	11561	77756
233	11620	77768
234	11679	77779
235	11736	77782
236	11793	77779
237	11851	77779
238	11911	77801
239	11969	77804
240	12023	77781
241	12079	77767
242	12136	77765
243	12197	77782
244	12253	77774
245	12308	77752
246	12362	77727
247	12418	77717
248	12474	77702
249	12529	77681
250	12587	77681
251	12644	77671
252	12702	77671
253	12758	77654
254	12816	77650
255	12869	77617
256	12928	77622
257	12987	77622
258	13043	77603
259	13101	77603
260	13161	77607
261	13213	77564
262	13268	77542
263	13324	77522
264	13379	77501
265	13437	77495
266	13493	77471
267	13557	77501
268	13641	77640
269	13697	77619
270	13752	77593
271	13812	77596
272	13872	77595
273	13934	77605
274	13990	77581
275	14047	77563
276	14103	77546
277	14161	77531
278	14218	77515
279	14278	77511
280	14333	77484
281	14389	77458
282	14444	77430
283	14499	77396
284	14553	77364
285	14612	77352
286	14666	77320
287	14719	77277
288	14772	77235
289	14827	77207
290	14885	77189
291	14939	77155
292	14993	77114
293	15047	77080
294	15105	77063
295	15160	77033
296	15215	76998
297	15270	76965
298	15328	76952
299	15382	76910
300	15439	76891
301	15495	76860
302	15552	76837
303	15607	76805
304	15662	76773
305	15717	76736
306	15771	76700
307	15829	76682
308	15886	76658
309	15940	76617
310	15993	76573
311	16048	76538
312	16103	76505
313	16161	76485
314	16219	76462
315	16277	76443
316	16330	76396
317	16387	76374
318	16443	76343
319	16502	76322
320	16554	76272
321	16615	76265
322	16672	76239
323	16728	76208
324	16786	76183
325	16842	76154
326	16902	76139
327	16960	76115
328	17019	76095
329	17077	76071
330	17134	76044
331	17191	76014
332	17247	75983
333	17303	75948
334	17358	75910
335	17412	75867
336	17463	75814
337	17520	75785
338	17579	75761
339	17638	75741
340	17696	75715
341	17750	75674
342	17801	75616
343	17859	75592
344	17914	75554
345	17938	75382
346	17992	75340
347	18016	75172
348	18072	75136
349	18127	75101
350	18184	75067
351	18241	75037
352	18295	74995
353	18348	74950
354	18406	74921
355	18458	74871
356	18515	74840
357	18574	74817
358	18633	74795
359	18689	74759
360	18746	74725
361	18801	74686
362	18861	74665
363	18921	74647
364	18978	74613
365	19034	74578
366	19092	74550
367	19152	74527
368	19206	74484
369	19264	74455
370	19322	74425
371	19378	74389
372	19434	74350
373	19491	74316
374	19546	74278
375	19606	74254
376	19664	74225
377	19721	74188
378	19778	74155
379	19838	74132
380	19891	74084
381	19943	74031
382	20001	73999
383	20058	73965
384	20109	73909
385	20163	73863
386	20207	73779
387	20264	73746
388	20321	73712
389	20374	73660
390	20431	73628
391	20488	73590
392	20549	73570
393	20604	73527
394	20659	73483
395	20705	73409
396	20759	73365
397	20815	73325
398	20870	73282
399	20926	73243
400	20985	73215
401	21042	73177
402	21101	73147
403	21152	73091
404	21196	73010
405	21252	72970
406	21305	72921
407	21365	72894
408	21425	72866
409	21479	72821
410	21538	72791
411	21594	72750
412	21643	72686
413	21701	72652
414	21758	72614
